open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,tkbbav,tkqav,ign.
1546128000000,0.035983999999999995,0.036534,0.034960000000000005,0.036235,291989.233,1546214399999,10467.04987949,185325,154528.84,5540.06594356,0
1546214400000,0.036234,0.036337,0.0353,0.035536,205103.854,1546300799999,7345.92219595,146249,101429.538,3633.04649386,0
1546300800000,0.035534,0.037532,0.035315,0.036629,168390.91,1546387199999,6118.53696104,128903,92258.482,3352.45235579,0
1546387200000,0.036611000000000005,0.04005,0.036501,0.039404,347117.744,1546473599999,13457.53643352,216113,176108.805,6825.8950908000015,0
1546473600000,0.039415,0.039949,0.038156,0.038846,284859.389,1546559999999,11112.7094515,187567,146215.675,5705.87689129,0
1546560000000,0.038854,0.04085,0.038551,0.040093,304951.98,1546646399999,12152.20499011,214027,157908.178,6294.03990061,0
1546646400000,0.0401,0.041752,0.040096,0.040533,312691.91,1546732799999,12797.16576898,222634,163755.765,6703.0761507,0
1546732800000,0.040532,0.040721,0.038377,0.03857,287921.195,1546819199999,11368.341939700002,209278,145725.18099999998,5753.23405832,0
1546819200000,0.03857,0.038791,0.0373,0.037589,226585.723,1546905599999,8623.50780255,175384,117574.856,4474.43989122,0
1546905600000,0.03756,0.037756,0.0369,0.037296,226887.581,1546991999999,8458.6158207,191156,116157.225,4330.55528173,0
1546992000000,0.037297,0.038,0.037139,0.037337,195048.837,1547078399999,7318.68751688,147310,96791.916,3632.67036876,0
1547078400000,0.037336,0.037445,0.034086,0.034852999999999995,397522.165,1547164799999,14052.27910368,281134,203577.347,7205.3820780000015,0
1547164800000,0.034852999999999995,0.035322000000000006,0.033716,0.03462,266180.516,1547251199999,9211.12130602,209599,141209.834,4885.09098284,0
1547251200000,0.034619,0.034996,0.034177,0.034404000000000004,158816.12699999998,1547337599999,5502.73513649,147750,78177.354,2708.43871153,0
1547337600000,0.034406,0.034448,0.032363,0.032845,194656.594,1547423999999,6516.82912968,157905,94016.904,3150.82310625,0
1547424000000,0.032844,0.035476,0.032805,0.035005,290289.32300000003,1547510399999,9880.31566041,205181,142539.747,4860.45985091,0
1547510400000,0.035005,0.035556,0.0329,0.033502,328919.67600000004,1547596799999,11326.71386122,247685,168140.764,5794.21071314,0
1547596800000,0.033513999999999995,0.034779000000000004,0.033283999999999994,0.033836,277488.071,1547683199999,9378.01233288,231651,146004.875,4934.59212934,0
1547683200000,0.03383,0.033969,0.033076,0.033647,224507.593,1547769599999,7541.03829114,207693,123405.548,4145.71286259,0
1547769600000,0.033644,0.033716,0.03295,0.033148000000000004,172873.158,1547855999999,5774.33203574,168092,91036.872,3041.13373865,0
1547856000000,0.033149,0.033768,0.033125,0.033441000000000005,173766.455,1547942399999,5806.93446856,166707,91804.186,3068.78520661,0
1547942400000,0.033441000000000005,0.033520999999999995,0.032975,0.033214,201346.172,1548028799999,6701.06184186,178743,100635.934,3349.88325096,0
1548028800000,0.033214,0.033289,0.032412,0.032765,155031.834,1548115199999,5101.55313722,149339,82509.592,2715.45067611,0
1548115200000,0.032767000000000004,0.03316,0.032242,0.033004,207541.999,1548201599999,6818.62339331,163512,97500.264,3203.94003688,0
1548201600000,0.033004,0.033114,0.0326,0.032773000000000004,184231.591,1548287999999,6061.53309854,155630,86781.141,2855.3987006,0
1548288000000,0.032773000000000004,0.032831,0.032222,0.032608,252866.73100000003,1548374399999,8239.77253525,159763,141462.573,4608.20850778,0
1548374400000,0.032608,0.032987,0.032253,0.032305,188974.532,1548460799999,6145.11263922,149319,101609.864,3304.82640337,0
